# RAW POOL — curate into data/ground_truth.csv. Keep ambiguous pairs;
# turn some off_crop rows into cross_domain (true_label=REJECT, off-crop query).
image_filename,true_label,crop,case_type,notes
potato___early_blight_014.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_015.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_016.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_017.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_018.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_019.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_020.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_021.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_022.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_023.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_024.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_025.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_026.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_027.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_028.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_029.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_030.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_031.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_032.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_033.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_034.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_035.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_036.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_037.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_038.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_039.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_040.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_041.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_042.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_043.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_044.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_045.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_046.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_047.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_048.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_049.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___late_blight_000.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_001.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_002.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_003.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_004.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_005.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_006.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_007.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_008.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_009.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_010.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_011.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_012.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_013.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_014.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_015.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_016.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_017.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_018.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_019.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_020.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_021.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_022.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_023.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_024.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_025.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_026.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_027.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_028.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_029.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_030.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_031.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_032.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_033.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_034.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_035.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_036.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_037.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_038.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_039.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_040.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_041.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_042.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_043.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_044.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_045.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_046.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_047.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_048.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
potato___late_blight_049.jpg,Late Blight,potato,ambiguous,pool from Potato___Late_blight
tomato___bacterial_spot_000.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_001.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_002.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_003.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_004.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_005.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_006.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_007.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_008.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_009.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_010.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_011.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_012.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_013.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_014.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_015.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_016.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_017.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_018.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_019.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_020.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_021.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_022.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_023.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_024.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_025.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_026.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_027.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_028.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_029.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_030.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_031.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_032.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_033.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_034.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_035.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_036.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_037.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_038.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_039.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_040.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_041.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_042.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_043.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_044.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_045.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_046.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_047.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_048.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___bacterial_spot_049.jpg,Bacterial Spot,tomato,ambiguous,pool from Tomato___Bacterial_spot
tomato___early_blight_000.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_001.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_002.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_003.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_004.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_005.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_006.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_007.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_008.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_009.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_010.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_011.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_012.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_013.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_014.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_015.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_016.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_017.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_018.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_019.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_020.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_021.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_022.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_023.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_024.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_025.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_026.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_027.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_028.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_029.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_030.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_031.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_032.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_033.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_034.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_035.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_036.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_037.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_038.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_039.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_040.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_041.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_042.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_043.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_044.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_045.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_046.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_047.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_048.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___early_blight_049.jpg,Early Blight,tomato,ambiguous,pool from Tomato___Early_blight
tomato___late_blight_000.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_001.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_002.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_003.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_004.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_005.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_006.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_007.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_008.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_009.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_010.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
tomato___late_blight_011.jpg,Late Blight,tomato,ambiguous,pool from Tomato___Late_blight
